Division_code,Division,Area_in_km2,Total_population_2010,Urban_area_Population_2010,Seat,Postal_code ,Subdistricts ,Towns ,Townships,Residential_communities ,Villages,区划名称,政府驻地,划归北京时间,人口,面积,人口密度
110101,Dongcheng ,41.82,919253,,Jingshan Subdistrict,100000,17, , ,216,  ,东城区,景山街道,共和国前,919000,42,21881
110102,Xicheng ,50.33,1243315,,Jinrong Street Subdistrict,100000,15, , ,259,  ,西城区,金融街街道,共和国前,1243000,51,24372
110105,Chaoyang ,454.78,3545137,3532257,Chaowai Subdistrict,100000,24, ,19,358,5,朝阳区,朝外街道,共和国前,3545000,470.8,7530
110106,Fengtai ,305.53,2112162,2098632,Fengtai Subdistrict,100000,16,2,3,254,73,丰台区,丰台街道,共和国前,2112000,304.2,6943
110107,Shijingshan ,84.38,616083,,Lugu Subdistrict,100000,9, , ,130,  ,石景山区,鲁谷街道,共和国前,616000,89.8,6860
110108,Haidian ,430.77,3280670,3208563,Haidian Subdistrict,100000,22,7, ,603,84,海淀区,海淀街道,共和国前,3281000,426,7702
110109,Mentougou ,1447.85,290476,248547,Dayu Subdistrict,102300,4,9, ,124,179,门头沟区,大峪街道,1952年,290000,1331.3,218
110111,Fangshan ,1994.73,944832,635282,Gongchen Subdistrict,102400,8,14,6,108,462,房山区,拱辰街道,1958年3月7日,814000,1866.7,506
110112,Tongzhou ,905.79,1184256,724228,Beiyuan Subdistrict,101100,6,10,1,40,480,通州区,北苑街道,1958年3月7日,1184000,870,1361
110113,Shunyi ,1019.51,876620,471459,Shengli Subdistrict,101300,6,19, ,61,449,顺义区,胜利街道,1958年3月7日,877000,980,895
110114,Changping ,1342.47,1660501,1310617,Chengbei Subdistrict,102200,8,14, ,180,303,昌平区,城北街道,1956年,1661000,1430,1162
110115,Daxing ,1036.34,1365112,965683,Xingfeng Subdistrict,102600,5,14, ,64,547,大兴区,兴丰街道,1958年3月7日,1365000,1012,1349
110116,Huairou ,2122.82,372887,253088,Longshan Subdistrict,101400,2,12,2,27,286,怀柔区,龙山街道,1958年10月20日,373000,2557.3,146
110117,Pinggu ,948.24,415958,219850,Binhe Subdistrict,101200,2,14,2,23,275,平谷区,滨河街道,1958年10月20日,416000,1075,387
110118,Miyun ,2225.92,467680,257449,Gulou Subdistrict,101500,2,17,1,57,338,密云区,鼓楼街道,1958年10月20日,468000,2335.6,200
110119,Yanqing ,1994.89,317426,154386,Rulin Subdistrict,102100,3,11,4,34,376,延庆区,儒林街道,1958年10月20日,317000,1980,160
